tsne1D,tsne2D,Standard_Cluster,Membership_Probability,Sample_Name
5.176844365911084,47.354538941941264,1,1.0,36812_1#18_plasmid_AB621
-12.43062479776831,1.1832649055587365,19,1.0,36812_1#190_plasmid_AF100
-27.4250365707257,-3.8673286409393164,77,1.0,36812_1#198_plasmid_AF100
-22.937448057585897,-49.89120228438245,13,1.0,36812_1#205_plasmid_AF100
-35.48826023976673,23.62928090632021,17,1.0,36812_1#20_plasmid_AF100
-10.734786042378271,14.00923493661685,26,1.0,36812_1#221_plasmid_AF098
4.926875315032591,47.97630478737777,1,1.0,36812_1#223_plasmid_AB621
-22.938970558271482,-49.89148290635497,12,0.1889493814027705,36812_1#226_plasmid_AF100
-21.087988175598493,7.9456307961771975,72,1.0,36812_1#227_plasmid_AF100
-12.430624797764967,1.1832649055576716,19,1.0,36812_1#234_plasmid_AF100
4.769290360501749,47.26952886280419,1,1.0,36812_1#239_plasmid_AB621
-26.35054928298696,-5.337991115473038,77,1.0,36812_1#250_plasmid_AF100
-21.124851964603504,-46.83944872657208,41,1.0,36812_1#258_plasmid_AF100
-5.895750173649541,31.885991171857683,78,1.0,36812_1#265_plasmid_AB946
5.001583352390426,48.95707899940939,1,1.0,36812_1#266_plasmid_AB621
-11.400537564106841,-2.188466151786174,90,0.20283897590628824,36812_1#274_plasmid_AF100
3.926246411604888,47.968471713531706,1,1.0,36812_1#284_plasmid_AB621
-12.735947324673274,-3.6649976818400978,79,0.9999999999999897,36812_1#298_plasmid_AF100
-35.07130336169935,25.441373587915685,15,1.0,36812_1#319_plasmid_AF100
-25.407214219019572,-4.819896132471665,77,1.0,36812_1#322_plasmid_AF100
-25.80146720539492,-5.345665906503969,77,1.0,36812_1#324_plasmid_AF100
5.182039474894305,48.82050368987218,1,1.0,36812_1#329_plasmid_AB621
-25.225536622744045,-4.956176843346892,77,1.0,36812_1#335_plasmid_AF100
-7.602516372460002,28.77213589686213,8,0.07437137300374837,36812_1#349_plasmid_AB946
-25.92602887101234,13.553259499076946,65,1.0,36812_1#357_plasmid_AF100
-25.20728499144961,-5.241363572754891,77,1.0,36812_1#368_plasmid_AF100
-25.925959089316454,13.554358942163418,65,1.0,36812_1#369_plasmid_AF100
-25.310927520294463,-5.75056393690917,77,1.0,36812_1#370_plasmid_AF100
-21.12422987054616,-46.83831962228729,41,5.793463037560705e-06,36812_1#373_plasmid_AF100
-25.31184304158345,-6.022626474744914,77,1.0,36812_1#381_plasmid_AF100
-7.3882482198849,-6.289722388260255,33,1.0,36812_1#382_plasmid_AF100
-9.991503743808064,32.354137124687526,50,0.24834957600135046,36812_1#383_plasmid_AB946
-19.986122216204162,-44.87103341146123,7,1.0,36812_1#40_plasmid_AF100
-25.88936950812709,-5.002750542347032,77,1.0,36812_1#42_plasmid_AF100
-21.124851964404574,-46.8394487278414,41,1.0,36812_1#44_plasmid_AF100
-25.255375125681837,15.309778331726813,63,1.0,36812_1#47_plasmid_AF100
-22.550549993751495,5.662604200777888,32,0.015385387497243264,36812_1#48_plasmid_AF100
-22.861857458864176,-49.96652227471014,-1,0.0,36812_1#59_plasmid_AF100
-25.980513822411726,-6.180928939758063,77,1.0,36812_1#6_plasmid_AF100
-25.046620443544985,15.160964928573952,64,0.2671080657717575,36812_1#78_plasmid_AF100
-35.106761364035535,25.437357391867412,15,1.942936928120266e-06,36812_1#81_plasmid_AF100
4.682200690735042,48.95312606102274,1,1.0,36812_1#93_plasmid_AB621
-25.812098679278925,-5.380641928098947,77,1.0,36812_2#128_plasmid_AF100
-22.575806180999752,5.637087106371153,32,0.7802615017915923,36812_2#153_plasmid_AF100
-7.392192892002022,-6.286464294108086,33,1.0,36812_2#156_plasmid_AF100
4.99856121292672,48.95831534082011,1,1.0,36812_2#178_plasmid_AB621
-24.970264748254582,14.075335421402944,-1,0.0,36812_2#183_plasmid_AF100
-19.98483590298241,-44.87327962911287,6,0.7908175134084497,36812_2#211_plasmid_AF100
