batch_uuid	file_type	file_uuid	method_uuid	path
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	ee4b5f32-ba01-41a1-994c-6a653ff106b8	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661963/SLX/65989929/46358_2#97/46358_2#97/spades_assembly/annotation/46358_2#97.gff
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	1d68c14e-b81d-434d-9936-e2020907398f	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170783/SLX/67518615/47195_1#314/47195_1#314/spades_assembly/contigs.fa
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	49210c58-27cc-49eb-89e5-050c7a9fc496	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661133/SLX/65992004/46321_1#279/46321_1#279/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	bbed70de-fb9f-4452-a96b-b177e985b140	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10660918/SLX/65992127/46321_1#332/46321_1#332/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	69bf4e87-f946-4807-8c5d-a75cf12f93b1	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170421/SLX/65993114/46736_1#333/46736_1#333/spades_assembly/annotation/46736_1#333.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	5833ec06-1ab5-4554-a5d8-29e93542a955	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170730/SLX/67518507/47195_1#139/47195_1#139/spades_assembly/annotation/47195_1#139.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	f7c8c6be-1b27-4255-ab51-81948a1e8129	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662806/SLX/65990290/46358_2#128/46358_2#128/spades_assembly/annotation/46358_2#128.gff
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	3208d695-e798-4ac9-af32-db36b75cfdbf	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661057/SLX/65995893/46472_2#277/46472_2#277/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	fea35b4a-5e98-4bfb-a02b-24a8afe433fd	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661588/SLX/65992350/46321_2#54/46321_2#54/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	3de10040-6fc1-4cf6-97ed-96f34531ec5b	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662812/SLX/65990196/46358_2#156/46358_2#156/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	46f554a7-4c37-4f98-a196-b223b589574a	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171021/SLX/70377325/48373_1#205/48373_1#205/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	20e38876-4f14-42bd-8cb6-bbbd08cbbe32	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661138/SLX/65992100/46321_1#283/46321_1#283/spades_assembly/contigs.fa
