run_accession,sample_accession
ERR3411624,SAMEA4620324
ERR3411585,SAMEA4620284
ERR3440266,SAMEA4621985
ERR3411625,SAMEA4620325
ERR3440268,SAMEA4621987
ERR3411589,SAMEA4620289
ERR3411627,SAMEA4620327
ERR3440275,SAMEA4621996
ERR3411590,SAMEA4620290
ERR3411628,SAMEA4620328
ERR3440290,SAMEA4622009
ERR3411592,SAMEA4620292
ERR3411629,SAMEA4620329
ERR3440298,SAMEA4622017
ERR3411597,SAMEA4620297
ERR3411633,SAMEA4620333
ERR3440301,SAMEA4622020
ERR3411598,SAMEA4620298
ERR3411635,SAMEA4620335
ERR3440302,SAMEA4622021
ERR3411603,SAMEA4620303
ERR3411641,SAMEA4620341
ERR3440308,SAMEA4622027
ERR3411606,SAMEA4620306
ERR3411651,SAMEA4620351
ERR3440309,SAMEA4622028
ERR3411607,SAMEA4620307
ERR3411653,SAMEA4620353
ERR3440316,SAMEA4622035
ERR3411608,SAMEA4620308
ERR3411658,SAMEA4620358
ERR3904118,SAMEA4622078
ERR3411609,SAMEA4620309
ERR3411660,SAMEA4620360
ERR3904141,SAMEA4622101
ERR3411611,SAMEA4620311
ERR3411662,SAMEA4620362
ERR3410267,SAMEA4621267
ERR3411617,SAMEA4620317
ERR3411665,SAMEA4620365
ERR3410269,SAMEA4621269
ERR3411626,SAMEA4620326
ERR3411672,SAMEA4620372
ERR3410272,SAMEA4621272
ERR3411630,SAMEA4620330
ERR3411673,SAMEA4620373
ERR3410273,SAMEA4621273
ERR3411636,SAMEA4620336
ERR3411674,SAMEA4620374
ERR3410274,SAMEA4621274
ERR3411637,SAMEA4620337
ERR3411678,SAMEA4620378
ERR3410279,SAMEA4621279
ERR3411642,SAMEA4620342
ERR3411680,SAMEA4620380
ERR3410308,SAMEA4621308
ERR3411644,SAMEA4620344
ERR3410309,SAMEA4621309
ERR3411686,SAMEA4620386
ERR3411645,SAMEA4620345
ERR3410311,SAMEA4621311
ERR3411687,SAMEA4620387
ERR3411647,SAMEA4620347
ERR3410312,SAMEA4621312
ERR3411688,SAMEA4620388
ERR3411649,SAMEA4620349
ERR3410314,SAMEA4621314
ERR3411692,SAMEA4620392
ERR3411652,SAMEA4620352
ERR3410315,SAMEA4621315
ERR3411695,SAMEA4620395
ERR3411663,SAMEA4620363
ERR3410320,SAMEA4621320
ERR3411697,SAMEA4620397
ERR3411664,SAMEA4620364
ERR3410328,SAMEA4621328
ERR3411701,SAMEA4620401
ERR3411666,SAMEA4620366
ERR3410330,SAMEA4621330
ERR3411709,SAMEA4620409
ERR3411675,SAMEA4620375
ERR3410336,SAMEA4621336
ERR3411713,SAMEA4620413
ERR3411681,SAMEA4620381
ERR3410337,SAMEA4621337
ERR3411719,SAMEA4620420
ERR3411682,SAMEA4620382
ERR3410343,SAMEA4621343
ERR3411721,SAMEA4620422
ERR3411685,SAMEA4620385
ERR3410345,SAMEA4621345
ERR3411727,SAMEA4620428
ERR3411689,SAMEA4620389
ERR3410356,SAMEA4621356
