alignment	id_run	irods_path	is_paired_read	lane	library_id	library_type	manual_qc	name	npg_run_id	reference	run_uuid	sample_uuid	tag_index	target	total_reads	type
1	36983	/seq/illumina/runs/36/36983/lane2/plex121/36983_2#121.cram	1	2	25839602	pWGS-384	1	36983_2#121	36983_2#121		78f6b5fc-1817-5351-9e03-44583972a693	fcb3f00c-c397-5192-b1a2-2b372d86f637	121	1	2139288	cram
1	38087	/seq/illumina/runs/38/38087/lane1/plex242/38087_1#242.cram	1	1	25736170	pWGS-384		38087_1#242	38087_1#242		be19735d-46b0-5b94-b7e5-005c8b74646b	9ca09e03-850e-5a5d-85bb-fafa93509435	242	1	2138394	cram
1	36812	/seq/illumina/runs/36/36812/lane2/plex337/36812_2#337.cram	1	2	25777434	pWGS-384	1	36812_2#337	36812_2#337		e2cceebe-be0d-55e5-8bd7-e1d5400451dd	8fbc56f9-f03f-54d9-8d0d-486018689364	337	1	3476260	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex264/36985_2#264.cram	1	2	25813402	pWGS-384	1	36985_2#264	36985_2#264		e5242120-6720-5eb4-ad00-1d2f5cc18b65	e6ae23d8-4661-577e-a3a0-96bede02f723	264	1	3098520	cram
1	36984	/seq/illumina/runs/36/36984/lane2/plex94/36984_2#94.cram	1	2	25701798	pWGS-384	1	36984_2#94	36984_2#94		3cf57cab-66e8-5edc-9c2c-022a8f534a53	0a1d95ef-b156-5712-a818-b20f38259a10	94	1	2665044	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex186/36985_2#186.cram	1	2	25813445	pWGS-384	1	36985_2#186	36985_2#186		7ce5262a-757a-5abd-82df-bc96bdd4ab3c	cf3c5aa3-64fe-50d0-b2ad-9f73c07a4161	186	1	2399732	cram
1	36983	/seq/illumina/runs/36/36983/lane1/plex120/36983_1#120.cram	1	1	25808773	pWGS-384	1	36983_1#120	36983_1#120		dcc7ca10-0283-5a18-a137-3f648c7bb050	2deb27ff-0566-5ab5-9aa3-e0231769a8df	120	1	1774706	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex69/36774_1#69.cram	1	1	25730841	pWGS-384	1	36774_1#69	36774_1#69		15dd75f1-30ae-5789-a7ae-0267139144fb	ce1eb248-5518-5f1f-b5b4-32c098444141	69	1	2330508	cram
1	36983	/seq/illumina/runs/36/36983/lane1/plex196/36983_1#196.cram	1	1	25808682	pWGS-384	1	36983_1#196	36983_1#196		14ea983b-d7f5-56d4-859f-b2c76da9caa6	865ad6cc-39b5-57d2-a8b1-ebe20a18a98d	196	1	3030358	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex336/37017_2#336.cram	1	2	25839013	pWGS-384	1	37017_2#336	37017_2#336		4543f001-cc6a-502d-b5ff-c3019cd2bfde	267c90e6-bdfa-5639-9d41-d132753160cb	336	1	3746792	cram
1	36774	/seq/illumina/runs/36/36774/lane2/plex97/36774_2#97.cram	1	2	25850756	pWGS-384	1	36774_2#97	36774_2#97		2394753e-de50-5ec9-bf33-e56599cb4b07	e1b78e66-294d-5fe1-bbd9-857f0e7f082d	97	1	2617452	cram
1	37311	/seq/illumina/runs/37/37311/lane1/plex195/37311_1#195.cram	1	1	25748897	pWGS-384	1	37311_1#195	37311_1#195		ef28d034-f430-58dc-b597-40067447ba41	7ff8877a-3202-5452-bf74-c9dd1ef51220	195	1	3498960	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex37/36812_1#37.cram	1	1	25940495	pWGS-384	1	36812_1#37	36812_1#37		87ee157c-f714-5b4a-ad8b-33178c13e6ef	31964d79-17ab-5c94-8177-7ac094bac88b	37	1	3012046	cram
1	36774	/seq/illumina/runs/36/36774/lane2/plex186/36774_2#186.cram	1	2	25851181	pWGS-384	1	36774_2#186	36774_2#186		fe8dec05-65f4-517f-a790-30575777b531	8f897372-aaec-5ab5-b453-913c934d6d42	186	1	2334922	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex5/36774_1#5.cram	1	1	25730837	pWGS-384	1	36774_1#5	36774_1#5		69e31acc-0191-5053-8e64-5f2f7348beb9	bdb07aca-b56d-588f-8ca5-e5e240e257c4	5	1	1805494	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex277/36812_1#277.cram	1	1	25940525	pWGS-384	1	36812_1#277	36812_1#277		d04e176c-4473-5343-92ad-6b020d706724	589c9169-b846-5343-af44-c8fa2bd59596	277	1	2229524	cram
1	36984	/seq/illumina/runs/36/36984/lane2/plex232/36984_2#232.cram	1	2	25701663	pWGS-384	1	36984_2#232	36984_2#232		cb1e35df-6eac-5414-bc83-f59e5d2460a1	c4edcc87-3588-508b-b383-51548ae9b12b	232	1	1322370	cram
1	36982	/seq/illumina/runs/36/36982/lane2/plex310/36982_2#310.cram	1	2	25772932	pWGS-384	1	36982_2#310	36982_2#310		4a9676f6-670b-53a7-8d13-2af6d07a642b	2c4b8180-fb6e-522c-8525-fd68f194ca17	310	1	3175782	cram
1	36983	/seq/illumina/runs/36/36983/lane1/plex73/36983_1#73.cram	1	1	25808794	pWGS-384	1	36983_1#73	36983_1#73		24a69a46-4b7a-5b6e-b09d-9e88fb7fa5ff	5426609f-98bb-56de-a447-7d23735e2fa7	73	1	1801054	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex76/36985_2#76.cram	1	2	25813486	pWGS-384	1	36985_2#76	36985_2#76		6ea3f8f2-3df6-5ed2-84f5-421cdd814ace	ff260dcd-76e6-54c5-b71d-3dde7868c799	76	1	2180058	cram
1	36983	/seq/illumina/runs/36/36983/lane1/plex131/36983_1#131.cram	1	1	25808654	pWGS-384	1	36983_1#131	36983_1#131		7c68e54b-2d9b-528b-b938-1ff9e4e06d0b	7c2a9d5f-c1f8-5d85-86af-b61c2b42a3e4	131	1	3690950	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex65/36812_1#65.cram	1	1	25940313	pWGS-384	1	36812_1#65	36812_1#65		c45caa49-3b96-5ec0-9ddb-3da2f2b04b53	f7b17dee-d336-5e06-87e1-cd195964a661	65	1	3257152	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex170/36812_1#170.cram	1	1	25940846	pWGS-384	1	36812_1#170	36812_1#170		2f7f03fc-17da-5f44-b3b0-5f86e4a50768	f3176fe0-546f-5da6-b4d8-51b0e17eb519	170	1	2290912	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex352/37017_2#352.cram	1	2	25839014	pWGS-384	1	37017_2#352	37017_2#352		b1123976-98b0-5955-9865-2b19891e36c2	f2b37826-6a28-5b3e-b702-172aa3f09400	352	1	3013414	cram
1	36983	/seq/illumina/runs/36/36983/lane2/plex217/36983_2#217.cram	1	2	25839608	pWGS-384	1	36983_2#217	36983_2#217		72f2dbbc-697c-5f8a-b881-acaa12bdc52a	5514ebd8-a313-5853-9938-f6eaeacfb3c9	217	1	3605960	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex172/36812_1#172.cram	1	1	25940936	pWGS-384	1	36812_1#172	36812_1#172		86509342-e670-58c0-a9fd-abb55374fb76	a694597b-d9eb-529e-baad-61581ce9c6bf	172	1	2028824	cram
