Sample,Isolate,Cohort,Country,Region,Year,Description,Species
SEANFDS10659985,08B06074_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659993,08B06075_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660001,08B06076_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660009,08B06151_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660017,08B06161_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660025,08B06162_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659946,08B06255_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659954,08B06265_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661010,08B06271_Mcat,Maela,Thailand,Maela,2008,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659962,08B06278_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659970,08B06282_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659978,08B06283_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660944,08B06323_Mcat,Maela,Thailand,Maela,2008,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660825,08B06323_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659986,08B06378_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
