import_uuid	name	sample_accession_number	sample_common_name	sample_donor_id	sample_id	sample_supplier_name	sample_uuid	sequencescape_sample_id
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417777	ERS5382958	Haemophilus influenzae	HINTVAC9417777	5037105	2A_42_D6_08B01844	14702622-5e57-5aac-9957-99471a14ab78	HINTVAC9417777
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414915	ERS5379146	Haemophilus influenzae	HINTVAC9414915	5034243	31_68_F8_09B08563	1420ff98-e7b1-55df-9af0-9ab1df1f51e4	HINTVAC9414915
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414083	ERS5378134	Haemophilus influenzae	HINTVAC9414083	5033411	40_72_F12_10B00626	1604c032-80e0-56aa-a783-6c290016cb8c	HINTVAC9414083
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415698	ERS5380125	Haemophilus influenzae	HINTVAC9415698	5035026	23_58_E10_09B03449	621f1945-180e-54f6-a10f-0748d102191b	HINTVAC9415698
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414247	ERS5378323	Haemophilus influenzae	HINTVAC9414247	5033575	38_21_B9_09B12655	d47623d9-adc7-5593-a270-7a400f8e5418	HINTVAC9414247
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417758	ERS5382938	Haemophilus influenzae	HINTVAC9417758	5037086	2A_4_A4_08B01482	3cfda7f4-c158-5828-adce-9e540ae13f97	HINTVAC9417758
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415329	ERS5379712	Haemophilus influenzae	HINTVAC9415329	5034657	27_48_D12_09B05718	ad3be94f-11d1-5dd5-aa7f-1aef21341214	HINTVAC9415329
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417850	ERS5383077	Haemophilus influenzae	HINTVAC9417850	5037178	1A_51_E3_08B00947	7d89d1e3-75da-5bbd-bf63-cf96d05a22e0	HINTVAC9417850
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413954	ERS5377986	Haemophilus influenzae	HINTVAC9413954	5033282	41_56_E8_10B01273	f98a01ba-326b-5e28-9a17-f8625d0b0f6b	HINTVAC9413954
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417904	ERS5383137	Haemophilus influenzae	HINTVAC9417904	5037232	1A_34_C10_08B00702	5f8145a7-977c-5383-9d16-fd2e378864ba	HINTVAC9417904
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417112	ERS5381954	Haemophilus influenzae	HINTVAC9417112	5036440	8_31_C7_08B06271	21d04736-ffd2-5230-8cd8-4cba6d44ef64	HINTVAC9417112
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417005	ERS5381810	Haemophilus influenzae	HINTVAC9417005	5036333	9_89_H5_08B07027	807af266-fad4-5862-9ac7-9c5e19d07dbc	HINTVAC9417005
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414271	ERS5378347	Haemophilus influenzae	HINTVAC9414271	5033599	38_24_B12_09B12708	8fd149ed-5869-569c-a42b-2d304bf74beb	HINTVAC9414271
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416138	ERS5380636	Haemophilus influenzae	HINTVAC9416138	5035466	18_53_E5_09B00942	1116e4ca-83e6-5dff-8b1d-495f327b10fe	HINTVAC9416138
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416302	ERS5380823	Haemophilus influenzae	HINTVAC9416302	5035630	16_2_A2_08B10511	7287f968-684a-5144-a500-264ddc7bb6bd	HINTVAC9416302
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414047	ERS5378103	Haemophilus influenzae	HINTVAC9414047	5033375	40_20_B8_10B00237	305159fa-55e5-5814-81da-c05619540057	HINTVAC9414047
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415833	ERS5380292	Haemophilus influenzae	HINTVAC9415833	5035161	21_39_D3_09B02301	ce86008b-bbbc-59d9-ab07-69b487ca7207	HINTVAC9415833
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414792	ERS5378992	Haemophilus influenzae	HINTVAC9414792	5034120	32_29_C5_09B08956	b1baf5a3-92ae-539d-b0b7-77796124e3f0	HINTVAC9414792
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415867	ERS5380320	Haemophilus influenzae	HINTVAC9415867	5035195	21_67_F7_09B02438	3aadc98b-8286-5654-8328-6655ca9c8e5a	HINTVAC9415867
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414589	ERS5378729	Haemophilus influenzae	HINTVAC9414589	5033917	34_87_H3_09B10391	d57e9c91-7d99-5f6d-81db-aa82339f056e	HINTVAC9414589
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414685	ERS5378870	Haemophilus influenzae	HINTVAC9414685	5034013	33_87_H3_09B09786	f9bf359c-c8bf-550d-872e-07592e651866	HINTVAC9414685
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416222	ERS5380745	Haemophilus influenzae	HINTVAC9416222	5035550	17_4_A4_09B00165	fd808d21-0035-52cf-898a-e30189ee6a56	HINTVAC9416222
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413438	ERS5377398	Haemophilus influenzae	HINTVAC9413438	5032766	46_4_A4_10B05665	47c7c04c-786c-557e-8f40-a29369e3150d	HINTVAC9413438
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415118	ERS5379397	Haemophilus influenzae	HINTVAC9415118	5034446	29_10_A10_09B06899	f2a3136b-f5b2-5466-8c0c-54496e4e5da2	HINTVAC9415118
