46321_1#220	Cambodia	2019	Haemophilus influenzae
46358_2#75	Cambodia	2019	Haemophilus influenzae
46321_2#373	Cambodia	2019	Haemophilus influenzae
46321_1#214	Cambodia	2019	Haemophilus influenzae
46321_2#202	Cambodia	2019	Haemophilus influenzae
46321_1#348	Cambodia	2019	Haemophilus influenzae
46358_2#320	Cambodia	2019	Haemophilus influenzae
48373_1#237	United Kingdom	2010	Haemophilus influenzae
48373_1#363	United Kingdom	2020	Haemophilus influenzae
48373_1#355	United Kingdom	2019	Haemophilus influenzae
48373_1#328	United Kingdom	2010	Haemophilus influenzae
46358_2#347	Cambodia	2019	Haemophilus influenzae
46358_2#69	Cambodia	2019	Haemophilus influenzae
48373_1#78	United Kingdom	2011	Haemophilus influenzae
48373_1#9	United Kingdom	2009	Haemophilus influenzae
48373_1#245	United Kingdom	2019	Haemophilus influenzae
48373_1#337	United Kingdom	2019	Haemophilus influenzae
48373_1#288	United Kingdom	2020	Haemophilus influenzae
46358_2#215	Cambodia	2019	Haemophilus influenzae
48373_1#340	United Kingdom	2019	Haemophilus influenzae
46321_2#119	Cambodia	2019	Haemophilus influenzae
46358_2#61	Cambodia	2019	Haemophilus influenzae
46472_2#337	Cambodia	2019	Haemophilus influenzae
46321_2#147	Cambodia	2019	Haemophilus influenzae
48373_1#65	United Kingdom	2009	Haemophilus influenzae
46358_2#300	Cambodia	2019	Haemophilus influenzae
46321_2#188	Cambodia	2019	Haemophilus influenzae
46321_2#234	Cambodia	2019	Haemophilus influenzae
46321_1#56	Cambodia	2019	Haemophilus influenzae
46358_2#312	Cambodia	2019	Haemophilus influenzae
46358_2#171	Cambodia	2019	Haemophilus influenzae
46358_2#273	Cambodia	2019	Haemophilus influenzae
46321_2#283	Cambodia	2019	Haemophilus influenzae
46472_2#123	Thailand	2009	Haemophilus influenzae
46321_2#294	Cambodia	2019	Haemophilus influenzae
48373_1#164	United Kingdom	2011	Haemophilus influenzae
48373_1#248	United Kingdom	2020	Haemophilus influenzae
48373_1#14	United Kingdom	2010	Haemophilus influenzae
48373_1#28	United Kingdom	2020	Haemophilus influenzae
46321_2#16	Cambodia	2019	Haemophilus influenzae
48373_1#128	United Kingdom	2020	Haemophilus influenzae
46358_2#136	Cambodia	2019	Haemophilus influenzae
48373_1#74	United Kingdom	2010	Haemophilus influenzae
48373_1#69	United Kingdom	2009	Haemophilus influenzae
46358_2#117	Cambodia	2019	Haemophilus influenzae
48373_1#113	United Kingdom	2019	Haemophilus influenzae
46321_2#317	Cambodia	2019	Haemophilus influenzae
46321_1#338	Cambodia	2019	Haemophilus influenzae
48373_1#48	United Kingdom	2010	Haemophilus influenzae
46321_1#83	Thailand	2009	Haemophilus influenzae
46358_2#51	Cambodia	2019	Haemophilus influenzae
46321_2#53	Cambodia	2019	Haemophilus influenzae
46358_2#333	Cambodia	2019	Haemophilus influenzae
48373_1#107	United Kingdom	2009	Haemophilus influenzae
48373_1#289	United Kingdom	2010	Haemophilus influenzae
48373_1#173	United Kingdom	2009	Haemophilus influenzae
46358_2#187	Cambodia	2019	Haemophilus influenzae
46358_2#204	Cambodia	2019	Haemophilus influenzae
48373_1#86	United Kingdom	2020	Haemophilus influenzae
48373_1#20	United Kingdom	2020	Haemophilus influenzae
46321_2#302	Cambodia	2019	Haemophilus influenzae
48373_1#315	United Kingdom	2019	Haemophilus influenzae
46472_2#62	Cambodia	2019	Haemophilus influenzae
46321_1#60	Cambodia	2019	Haemophilus influenzae
48373_1#234	United Kingdom	2011	Haemophilus influenzae
48373_1#147	United Kingdom	2019	Haemophilus influenzae
46321_2#357	Cambodia	2019	Haemophilus influenzae
46321_2#196	Cambodia	2019	Haemophilus influenzae
48373_1#149	United Kingdom	2019	Haemophilus influenzae
46358_2#217	Cambodia	2019	Haemophilus influenzae
46358_2#86	Cambodia	2019	Haemophilus influenzae
46321_2#161	Cambodia	2019	Haemophilus influenzae
46358_2#270	Cambodia	2019	Haemophilus influenzae
46472_2#64	Cambodia	2019	Haemophilus influenzae
46358_2#176	Cambodia	2019	Haemophilus influenzae
46358_2#123	Cambodia	2019	Haemophilus influenzae
48373_1#145	United Kingdom	2019	Haemophilus influenzae
46472_2#30	Cambodia	2019	Haemophilus influenzae
48373_1#51	United Kingdom	2019	Haemophilus influenzae
48373_1#194	United Kingdom	2011	Haemophilus influenzae
48373_1#81	United Kingdom	2019	Haemophilus influenzae
48373_1#222	United Kingdom	2020	Haemophilus influenzae
48373_1#44	United Kingdom	2010	Haemophilus influenzae
48373_1#316	United Kingdom	2020	Haemophilus influenzae
46358_2#298	Cambodia	2019	Haemophilus influenzae
48373_1#177	United Kingdom	2019	Haemophilus influenzae
46321_1#350	Cambodia	2019	Haemophilus influenzae
46358_2#116	Cambodia	2019	Haemophilus influenzae
46321_1#58	Cambodia	2019	Haemophilus influenzae
46358_2#377	Cambodia	2019	Haemophilus influenzae
48373_1#21	United Kingdom	2019	Haemophilus influenzae
46358_2#267	Cambodia	2019	Haemophilus influenzae
48373_1#210	United Kingdom	2020	Haemophilus influenzae
46358_2#112	Cambodia	2019	Haemophilus influenzae
48373_1#167	United Kingdom	2009	Haemophilus influenzae
46321_2#104	Cambodia	2019	Haemophilus influenzae
48373_1#341	United Kingdom	2019	Haemophilus influenzae
46358_2#200	Cambodia	2019	Haemophilus influenzae
46358_2#173	Cambodia	2019	Haemophilus influenzae
46358_2#178	Cambodia	2019	Haemophilus influenzae
46321_2#221	Cambodia	2019	Haemophilus influenzae
46472_2#54	Cambodia	2019	Haemophilus influenzae
48373_1#117	United Kingdom	2019	Haemophilus influenzae
48373_1#309	United Kingdom	2019	Haemophilus influenzae
46472_2#224	Cambodia	2019	Haemophilus influenzae
46321_1#51	Thailand	2009	Haemophilus influenzae
48373_1#181	United Kingdom	2019	Haemophilus influenzae
48373_1#238	United Kingdom	2011	Haemophilus influenzae
46358_2#232	Cambodia	2019	Haemophilus influenzae
46321_2#191	Cambodia	2019	Haemophilus influenzae
48373_1#154	United Kingdom	2020	Haemophilus influenzae
46358_2#72	Cambodia	2019	Haemophilus influenzae
46358_2#63	Cambodia	2019	Haemophilus influenzae
46321_1#380	Cambodia	2019	Haemophilus influenzae
48373_1#175	United Kingdom	2009	Haemophilus influenzae
48373_1#24	United Kingdom	2020	Haemophilus influenzae
46358_2#130	Cambodia	2019	Haemophilus influenzae
48373_1#35	United Kingdom	2009	Haemophilus influenzae
46358_2#12	Cambodia	2019	Haemophilus influenzae
46358_2#196	Cambodia	2019	Haemophilus influenzae
46358_2#268	Cambodia	2019	Haemophilus influenzae
46358_2#160	Cambodia	2019	Haemophilus influenzae
46358_2#25	Cambodia	2019	Haemophilus influenzae
48373_1#184	United Kingdom	2020	Haemophilus influenzae
48373_1#308	United Kingdom	2020	Haemophilus influenzae
46321_2#261	Cambodia	2019	Haemophilus influenzae
48373_1#91	United Kingdom	2019	Haemophilus influenzae
48373_1#205	United Kingdom	2009	Haemophilus influenzae
48373_1#189	United Kingdom	2019	Haemophilus influenzae
48373_1#132	United Kingdom	2011	Haemophilus influenzae
46321_2#382	Cambodia	2019	Haemophilus influenzae
48373_1#364	United Kingdom	2020	Haemophilus influenzae
46358_2#48	Cambodia	2019	Haemophilus influenzae
48373_1#220	United Kingdom	2020	Haemophilus influenzae
46321_2#300	Cambodia	2019	Haemophilus influenzae
46358_2#28	Cambodia	2019	Haemophilus influenzae
48373_1#329	United Kingdom	2019	Haemophilus influenzae
46321_2#350	Cambodia	2019	Haemophilus influenzae
48373_1#140	United Kingdom	2011	Haemophilus influenzae
